ID;Codigo;Municipio;Provincia;Latitud;Longitud;Altura;Inicio;Fin
B278;8306;PALMA DE MALLORCA, AEROPUERTO;ILLES BALEARS;393339N;024412E;8;01-08-1972;03-09-2021
B228;8301;PALMA, PUERTO;ILLES BALEARS;393319N;023731E;3;01-01-1978;03-09-2021
B346X;8310;PORRERES;ILLES BALEARS;393118N;030109E;120;09-02-1989;03-09-2021
B434X;8309;PORTOCOLOM  ;ILLES BALEARS;392452N;031618E;17;01-01-1993;03-09-2021
B691Y;8312;SA POBLA;ILLES BALEARS;394457N;030100E;40;19-04-2011;03-09-2021
B248;8303;SIERRA DE ALFABIA, BUNYOLA;ILLES BALEARS;394406N;024247E;1030;01-04-1971;03-09-2021
5298X;8347;ANDÚJAR;JAEN;380123N;040348W;202;01-01-2001;03-09-2021
5181D;8352;ARROYO DEL OJANCO;JAEN;381853N;025323W;580;02-01-2001;03-09-2021
5038X;8353;CAZORLA;JAEN;375457N;030014W;782;13-09-2005;02-10-2018
5270;;JAÉN, INSTITUTO;JAEN;374635N;034720W;510;01-05-2020;30-09-2014
5270B;8417;JAÉN;JAEN;374639N;034832W;580;02-04-1983;03-09-2021
5246;8350;SANTA ELENA;JAEN;382040N;033207W;770;01-09-2029;03-09-2021
5192;8354;VILLARRODRIGO;JAEN;382921N;023815W;862;01-12-1985;03-09-2021
9170;8084;LOGROÑO, AEROPUERTO;LA RIOJA;422708N;021952W;353;01-11-1948;03-09-2021
C249I;60035;FUERTEVENTURA AEROPUERTO;LAS PALMAS;282641N;135147W;25;01-01-1967;03-09-2021
C649I;60030;GRAN CANARIA AEROPUERTO;LAS PALMAS;275504N;152343W;32;01-01-1951;03-09-2021
C619I;60027;LA ALDEA DE SAN NICOLÁS;LAS PALMAS;280003N;154850W;10;14-01-2000;15-09-2016
C029O;60040;LANZAROTE AEROPUERTO;LAS PALMAS;285707N;133601W;14;01-11-1972;03-09-2021
C659M;60032;LAS PALMAS DE GRAN CANARIA, PL. DE LA FERIA;LAS PALMAS;280647N;152517W;15;21-09-2013;03-09-2021
C659H;60029;LAS PALMAS DE GRAN CANARIA, SAN CRISTOBAL;LAS PALMAS;280523N;152458W;55;02-05-2002;03-09-2021
C689E;60037;MASPALOMAS;LAS PALMAS;274409N;153545W;6;01-07-1994;03-09-2021
C629X;60036;MOGÁN, PUERTO;LAS PALMAS;274859N;154551W;10;07-02-2003;03-09-2021
C229J;60034;PÁJARA;LAS PALMAS;280257N;142129W;15;01-02-1993;03-09-2021
C839I;;TEGUISE;LAS PALMAS;291355N;133007W;10;01-01-1992;06-11-2016
2737E;8123;LAGUNAS DE SOMOZA;LEON;422239N;061148W;1020;02-10-1999;02-09-2021
2661B;8055;LEÓN AEROPUERTO;LEON;423558N;053837W;912;01-04-2014;31-07-2017
2661;8055;LEÓN, VIRGEN DEL CAMINO;LEON;423518N;053904W;912;01-01-1938;02-09-2021
1549;8053;PONFERRADA;LEON;423350N;063600W;534;01-01-1951;02-09-2021
2630X;8057;PUERTO DE SAN ISIDRO;LEON;430344N;052237W;1510;04-10-1991;02-09-2021
9619;8115;LA SEU D'URGELL;LLEIDA;422117N;012747E;677;01-09-2028;03-09-2021
9771;;LLEIDA, OBSERVATORIO;LLEIDA;413702N;003716E;199;01-06-1959;31-01-1983
9771C;8171;LLEIDA;LLEIDA;413734N;003553E;185;01-02-1983;03-09-2021
9990X;8107;NAUT ARAN, ARTIES ;LLEIDA;424201N;005237E;1161;01-01-2002;03-09-2021
9698U;8112;TALARN;LLEIDA;421219N;005155E;807;01-01-2002;01-09-2021
9720X;8173;TÀRREGA;LLEIDA;413902N;010858E;388;02-01-1997;13-11-2019
1505;8008;LUGO AEROPUERTO;LUGO;430641N;072727W;445;01-01-1951;02-09-2021
3100B;8229;ARANJUEZ;MADRID;400402N;033246W;540;01-04-1976;02-09-2021
3110C;8146;BUITRAGO DEL LOZOYA;MADRID;410025N;033649W;1030;01-01-1997;02-09-2021
3191E;8219;COLMENAR VIEJO;MADRID;404146N;034554W;1004;01-01-1978;02-09-2021
3200;8224;GETAFE;MADRID;401758N;034320W;620;01-01-1951;03-09-2021
3129;8221;MADRID AEROPUERTO;MADRID;402800N;033320W;609;01-01-1945;02-09-2021
3194U;8220;MADRID, CIUDAD UNIVERSITARIA;MADRID;402706N;034327W;664;01-01-1972;14-06-2021
3196;8223;MADRID, CUATRO VIENTOS;MADRID;402232N;034710W;690;01-05-1945;03-09-2021
3195;8222;MADRID, RETIRO;MADRID;402443N;034041W;667;01-01-2020;03-09-2021
3266A;8217;PUERTO ALTO DEL LEÓN;MADRID;404223N;040831W;1532;01-01-1997;03-09-2021
2462;8215;PUERTO DE NAVACERRADA;MADRID;404735N;040038W;1894;01-01-1946;02-09-2021
3338;8212;ROBLEDO DE CHAVELA;MADRID;402540N;041500W;763;04-01-1997;03-09-2021
3111D;8145;SOMOSIERRA;MADRID;410808N;033449W;1450;03-07-2005;02-09-2021
3175;8227;TORREJÓN DE ARDOZ;MADRID;402919N;032637W;607;01-01-1961;02-09-2021
6106X;8413;ANTEQUERA;MALAGA;370146N;044454W;408;01-01-2001;03-09-2021
6058I;8463;ESTEPONA;MALAGA;362501N;050918W;19;01-01-2001;03-09-2021
6084X;8480;FUENGIROLA;MALAGA;363219N;043706W;8;01-12-2000;03-09-2021
6155A;8482;MÁLAGA AEROPUERTO;MALAGA;363958N;042856W;5;01-05-1942;03-09-2021
6156X;8481;MÁLAGA, CENTRO METEOROLÓGICO;MALAGA;364304N;042854W;54;01-01-2001;03-09-2021
6172O;8479;MÁLAGA, PUERTO;MALAGA;364300N;042511W;25;01-01-2001;31-01-2016
6032B;8443;RONDA;MALAGA;364459N;051006W;766;01-01-2001;20-01-2016
6205X;8484;TORROX;MALAGA;364335N;035726W;3;02-01-2001;03-09-2021
6000A;60338;MELILLA;MELILLA;351635N;025723W;52;01-01-1965;03-09-2021
7002Y;8432;ÁGUILAS;MURCIA;372502N;013513W;26;11-01-2009;03-09-2021
7228;8429;ALCANTARILLA, BASE AÉREA;MURCIA;375728N;011343W;75;01-01-1940;03-09-2021
7119B;8365;CARAVACA DE LA CRUZ;MURCIA;380609N;015238W;643;30-01-2009;03-09-2021
7012C;8434;CARTAGENA;MURCIA;373604N;005916W;17;01-09-1988;03-09-2021
7145D;8363;CIEZA;MURCIA;381358N;012250W;265;19-02-1997;03-09-2021
7209;8426;LORCA;MURCIA;373917N;014114W;312;01-01-1955;03-09-2021
7178I;8430;MURCIA;MURCIA;380007N;011015W;61;01-04-1984;03-09-2021
7031;8433;SAN JAVIER AEROPUERTO;MURCIA;374720N;004812W;4;01-08-1944;03-09-2021
7031X;8433;SAN JAVIER AEROPUERTO;MURCIA;374642N;004821W;4;01-01-2011;03-09-2021
7275C;8356;YECLA;MURCIA;383606N;010935W;640;16-01-2009;03-09-2021
9263X;8089;ARANGUREN, ILUNDAIN  ;NAVARRA;424634N;013157W;572;19-03-2010;13-08-2021
9294E;8087;BARDENAS REALES, BASE AÉREA ;NAVARRA;421155N;012831W;295;24-07-1993;03-09-2021
1002Y;8030;BAZTAN, IRURITA ;NAVARRA;430809N;013235W;183;16-03-2009;02-09-2021
9283X;8153;CADREITA;NAVARRA;421225N;014241W;268;01-09-1991;12-02-2017
9263D;8085;PAMPLONA, AEROPUERTO;NAVARRA;424637N;013900W;459;01-01-1975;03-09-2021
9262;;PAMPLONA;NAVARRA;424904N;013818W;450;01-09-1953;31-08-2021
1631E;8051;A POBRA DE TRIVES;OURENSE;422022N;071657W;840;01-01-1994;02-09-2021
1700X;8047;O CARBALLIÑO;OURENSE;422517N;080533W;400;01-01-1994;02-09-2021
1690B;;OURENSE,INSTITUTO;OURENSE;421956N;075152W;148;01-01-1952;30-05-1969
1690A;8048;OURENSE;OURENSE;421931N;075135W;143;01-08-1972;02-09-2021
1735X;8050;XINZO DE LIMIA;OURENSE;420445N;074401W;616;22-02-2001;02-09-2021
2400E;8072;AUTILLA DEL PINO;PALENCIA;415944N;043610W;874;03-12-1988;02-09-2021
2374X;8068;CARRIÓN DE LOS CONDES;PALENCIA;422103N;043702W;830;03-12-1988;02-09-2021
2235U;8058;CERVERA DE PISUERGA;PALENCIA;425214N;043112W;1140;01-06-1986;02-09-2021
2401;;PALENCIA, OBSERVATORIO;PALENCIA;420018N;043145W;750;01-01-1951;31-07-1990
1484;;PONTEVEDRA, INSTITUTO;PONTEVEDRA;422550N;083850W;19;01-04-1945;30-09-1985
1484C;8044;PONTEVEDRA;PONTEVEDRA;422618N;083657W;108;01-10-1985;02-09-2021
1495;8045;VIGO AEROPUERTO;PONTEVEDRA;421419N;083726W;261;01-05-1956;02-09-2021
2491C;8205;LA COVATILLA, ESTACIÓN DE ESQUÍ;SALAMANCA;402118N;054124W;1960;17-12-2001;02-09-2021
2946X;8195;SAELICES EL CHICO;SALAMANCA;403806N;063600W;680;29-12-1988;02-09-2021
2867;8202;SALAMANCA AEROPUERTO;SALAMANCA;405734N;052954W;790;01-01-1945;02-09-2021
2870;8201;SALAMANCA;SALAMANCA;405727N;053944W;775;01-01-1970;02-09-2021
2916A;8129;VITIGUDINO;SALAMANCA;410041N;062616W;769;23-10-1991;02-09-2021
2150H;8143;LA PINILLA, ESTACIÓN DE ESQUÍ;SEGOVIA;411131N;032831W;1798;01-01-1977;02-09-2021
2465A;;SEGOVIA, INSTITUTO;SEGOVIA;405648N;040657W;990;01-01-1931;30-09-1986
2465;8213;SEGOVIA;SEGOVIA;405643N;040735W;1005;01-10-1988;01-09-2021
5704B;8392;CAZALLA DE LA SIERRA;SEVILLA;375535N;054611W;550;29-01-1997;03-09-2021
5641X;8395;ÉCIJA;SEVILLA;373058N;050506W;130;01-01-2001;03-09-2021
5612B;8399;LA RODA DE ANDALUCÍA;SEVILLA;371140N;044612W;410;13-02-2009;03-09-2021
5796;8397;MORÓN DE LA FRONTERA;SEVILLA;370952N;053641W;87;01-02-1946;03-09-2021
5783;8391;SEVILLA AEROPUERTO;SEVILLA;372500N;055245W;34;01-01-1951;03-09-2021
2030;8148;SORIA;SORIA;414630N;022859W;1082;01-11-1943;02-09-2021
C439J;60018;GÜÍMAR;STA. CRUZ DE TENERIFE;281906N;162256W;115;01-01-2014;03-09-2021
C929I;60001;HIERRO AEROPUERTO;STA. CRUZ DE TENERIFE;274908N;175320W;32;01-12-1973;03-09-2021
C430E;60010;IZAÑA;STA. CRUZ DE TENERIFE;281832N;162958W;2371;01-01-2020;03-09-2021
C139E;60005;LA PALMA AEROPUERTO;STA. CRUZ DE TENERIFE;283759N;174518W;33;01-04-1970;03-09-2021
C459Z;60012;PUERTO DE LA CRUZ;STA. CRUZ DE TENERIFE;282505N;163253W;25;12-06-1996;03-09-2021
C329Z;60008;SAN SEBASTIÁN DE LA GOMERA;STA. CRUZ DE TENERIFE;280523N;170641W;15;01-01-1995;03-09-2021
C449C;60020;STA.CRUZ DE TENERIFE;STA. CRUZ DE TENERIFE;282748N;161519W;35;01-01-1931;03-09-2021
C129Z;60004;TAZACORTE;STA. CRUZ DE TENERIFE;283545N;175455W;62;22-01-2000;03-09-2021
C447A;60015;TENERIFE NORTE AEROPUERTO;STA. CRUZ DE TENERIFE;282839N;161946W;632;01-08-1941;03-09-2021
C429I;60025;TENERIFE SUR AEROPUERTO;STA. CRUZ DE TENERIFE;280249N;163340W;64;01-07-1980;03-09-2021
0016A;8175;REUS AEROPUERTO;TARRAGONA;410842N;010949E;71;01-02-1945;02-09-2021
9987P;8240;SANT JAUME D'ENVEJA;TARRAGONA;404157N;004836E;1;01-01-1997;03-12-2019
9981A;8238;ESTACIÓN DE TORTOSA (ROQUETES);TARRAGONA;404913N;002936E;50;01-01-2020;03-09-2021
0002I;8169;VANDELLÒS  ;TARRAGONA;405729N;005217E;32;01-03-1968;06-07-2021
9573X;8164;ALCAÑIZ;TERUEL;410329N;000830W;334;01-01-1990;03-09-2021
9381;;CALAMOCHA, AERÓDROMO;TERUEL;405154N;011818W;932;01-01-1942;30-06-1985
9381I;8233;CALAMOCHA;TERUEL;405534N;011736W;890;01-08-1992;03-09-2021
9569A;8166;CALANDA;TERUEL;405648N;001416W;466;01-04-1990;03-09-2021
8368U;8235;TERUEL;TERUEL;402102N;010727W;900;01-04-1986;03-09-2021
4067;8273;MADRIDEJOS;TOLEDO;392931N;033142W;690;01-06-1945;03-09-2021
4061X;8275;QUINTANAR DE LA ORDEN;TOLEDO;393551N;030249W;691;31-10-2006;03-09-2021
3298X;8270;SAN PABLO DE LOS MONTES;TOLEDO;393249N;042102W;917;03-11-2006;03-09-2021
3365A;8274;TALAVERA DE LA REINA;TOLEDO;395731N;045149W;372;01-01-2020;03-09-2021
3259;;TOLEDO, LORENZANA;TOLEDO;395134N;040132W;540;01-01-2020;30-04-1982
3260B;8272;TOLEDO;TOLEDO;395305N;040243W;515;01-02-1982;03-09-2021
8058X;8282;OLIVA;VALENCIA;385544N;000545W;5;06-06-1992;31-08-2021
8325X;8287;POLINYÀ DE XÚQUER;VALENCIA;391105N;002219W;12;01-02-1991;03-09-2021
8309X;8281;UTIEL;VALENCIA;393432N;011441W;758;10-01-1991;03-09-2021
8414A;8284;VALENCIA AEROPUERTO;VALENCIA;392906N;002829W;56;01-01-1965;03-09-2021
8416Y;8285;VALÈNCIA, VIVEROS;VALENCIA;392850N;002159W;11;02-07-1994;03-09-2021
8416;8285;VALÈNCIA;VALENCIA;392850N;002159W;11;01-11-1937;03-09-2021
8293X;8290;XÀTIVA;VALENCIA;390006N;003125W;88;02-04-1990;03-09-2021
2503X;8142;OLMEDO;VALLADOLID;411933N;044113W;740;12-09-1991;10-12-2017
2539;8140;VALLADOLID AEROPUERTO;VALLADOLID;414243N;045120W;846;01-11-1936;02-09-2021
2422;8141;VALLADOLID;VALLADOLID;413827N;044516W;735;01-10-1973;02-09-2021
2755X;8056;BENAVENTE;ZAMORA;420039N;054000W;715;17-12-1988;02-09-2021
2775X;8125;VILLARDECIERVOS;ZAMORA;415629N;061647W;850;17-12-1988;02-09-2021
2614;8130;ZAMORA;ZAMORA;413056N;054407W;656;01-02-2020;02-09-2021
9576C;8165;BUJARALOZ;ZARAGOZA;413121N;001028W;357;07-07-1992;06-06-2018
9394X;8156;CALATAYUD;ZARAGOZA;411952N;013843W;582;01-04-1993;03-09-2021
9390;8157;DAROCA;ZARAGOZA;410652N;012436W;779;01-01-2020;03-09-2021
9244X;8090;SOS DEL REY CATÓLICO;ZARAGOZA;422927N;011249W;626;04-02-1992;03-09-2021
9434;8160;ZARAGOZA, AEROPUERTO;ZARAGOZA;413938N;010015W;249;01-01-1941;03-09-2021
9434P;8159;ZARAGOZA, VALDESPARTERA;ZARAGOZA;413715N;005606W;254;01-10-2012;03-09-2021